kd_lpse,kd_agency,kd_lelang,nama_lpse,nama_agency,kd_paket,nama_paket,nama_panitia,hasil_lelang,nama_pemenang,npwp_pemenang,hps,tgl_pengumuman,nama_satker,nilai_kontrak,tanggal_kontrak,tanggal_akhir_lelang,sumber_dana,tahun_anggaran,kategori,kd_satker,pagu,kd_pemenang,kd_kabupaten,nama_kabupaten,nama_propinsi
624,2999,255624,LPSE Kota Padang,Pemko Padang,203624,Belanja Premi Asuransi Barang Milik Daerah,Pokja III ULP Kota Padang,1259743334,"","",1620411318,2013-12-02,Dinas Pengelolaan Keuangan dan Aset Kota Padang,"","",2014-01-06,APBD,2013,"Jasa Lainnya",23999,1959000000,"",14675,Padang (Kota),Sumatera Barat
114,3999,8513114,LPSE Kementerian Perhubungan,Ditjen Phb Laut,7478114,Pekerjaan Pelayanan Pengoperasian Angkutan Di Perairan Untuk Daerah Masih Tertinggal Dan/Atau Wilayah Terpencil Trayek R-39 Pangkalan Ambon TA. 2014 (Pelelangan Umum Tidak Mengikat),"PANITIA PEKJ.JASA ANGKUTAN LAUT PERINTIS PANGKALAN AMBON TRAYEK R39,R40,R44",5117966098,PT. Herlin Samudra Line,02.375.060.7-722.000,5426632318,2013-12-14,KANTOR KESYAHBANDARAN DAN OTORITAS PELABUHAN KELAS I AMBON,"","",2014-01-07,APBN,2014,"Jasa Lainnya",155114,5427003289,1518114,14748,Jakarta Pusat (Kota),DKI Jakarta
168,4168,2187168,LPSE Kabupaten Musi Banyuasin,AGENCY LPSE,2109168,"PEMASANGAN PANEL CONTROL POWER, STABILIZER DAN STEP UP BESERTA AKSESORISNYA UNTUK PENINGKATAN VOLTAGE LISTRIK PDAM BOSTER PELAYANAN KERTAYU",Panitia Pengadaan Barang/jasa Kegiatan APBD-P,269250000,CV. NABILA,01.893.170.9-314.000,275250000,2013-12-11,Perusahaan Daerah Air Minum TIRTA RANDIK Kabupaten Musi Banyuasin,"","",2013-12-24,APBD,2013,"Pekerjaan Konstruksi",11168,292000000,57168,14721,Musi Banyu Asin (Kab.),Sumatera Selatan
252,31999,2671252,LPSE Kementerian Hukum dan HAM RI,KANWIL KALIMANTAN TIMUR,2469252,PENGADAAN BAHAN MAKANAN NAPI/TAHANAN LEMBAGA PEMASYARAKATAN NARKOTIKA SAMARINDA,Panitia Pengadaan BAMA WBP pada Lapas Narkotika Samarinda TA.2014,874744000,"","",919596000,2013-12-21,Lembaga Pemasyarakatan Narkotika Samarinda,"","",2014-01-07,APBN,2014,Pengadaan Barang,664252,985500000,"",14752,Jakarta Selatan (Kota),DKI Jakarta
11,522011,11267011,LPSE Kementerian Keuangan,Sekretariat Jenderal Kementerian Keuangan,9902011,"PENGADAAN JASA SEWA MESIN FOTOKOPI UNTUK PUSAT SISTEM INFORMASI DAN TEKNOLOGI KEUANGAN UNTUK TAHUN ANGGARAN 2014",Unit Layanan Pengadaan Setjen Pokja II,266349600,PT. SETIAWAN KUMALAGIRI,01.621.782.0-029.000,333747480,2013-12-13,Pusat Sistem Informasi dan Teknologi Keuangan (PUSINTEK),"","",2014-01-10,APBN,2014,"Jasa Lainnya",105011,420000000,1675011,14748,Jakarta Pusat (Kota),DKI Jakarta
329,1329,310329,LPSE Kota Bitung,LPSE Kota Bitung,285329,Pembangunan Jalan Tanjung Merah Batas Minut_HOTMIX,Dinas Pekerjaan Umum Kota Bitung TA.2014 (Bid.Bina Marga),1954480000,CV PERKASA,02.000.746.4-823.000,1997660000,2013-12-18,Dinas Pekerjaan Umum Kota Bitung,"","",2014-01-20,APBD,2014,"Pekerjaan Konstruksi",7329,2000000000,28329,14913,Bitung (Kota),Sulawesi Utara
252,25999,2408252,LPSE Kementerian Hukum dan HAM RI,KANWIL JAWA TENGAH,2258252,Pengadaan Bahan Makanan Napi/Tahanan Lapas Permisan Nusakambangan TA. 2014,Pengadaan Bahan Makanan Napi/Tahanan Lapas Permisan Nusakambangan TA. 2014,707830957,"","",710802781,2013-12-07,Lembaga Pemasyarakatan Permisan Nusakambangan,"","",2013-12-31,APBN,2014,Pengadaan Barang,403252,711585000,"",14752,Jakarta Selatan (Kota),DKI Jakarta
109,26109,2720109,LPSE Kementerian Energi dan Sumber Daya Mineral,Pusat Penelitian dan Pengembangan Geologi Kelautan,2164109,Pengadaan Jasa Lainnya Cleaning Service (Gedung dan Halaman Kantor P3GL Bandung),Pokja Jasa Lainnya,632265260,"","",736700000,2013-12-05,P3GL,"","",2014-01-13,APBN,2013,"Jasa Lainnya",32109,744000000,"",14748,Jakarta Pusat (Kota),DKI Jakarta
114,6999,8706114,LPSE Kementerian Perhubungan,Ditjen Phb Darat,7579114,Pembangunan Dermaga Penyeberangan Matak (Kep. Anambas) Tahap V,PANITIA PEKERJAAN PEMB.DERMAGA PENYEBERANGAN MATAK(KEP.ANAMBAS) TAHAP V,5093272000,"","",5870000000,2013-12-30,PENGEMBANGAN LLASDP KEPULAUAN RIAU,"","",2014-01-30,APBN,2014,"Pekerjaan Konstruksi",189114,6000000000,"",14748,Jakarta Pusat (Kota),DKI Jakarta
252,27999,2508252,LPSE Kementerian Hukum dan HAM RI,KANWIL JAWA TIMUR,2349252,Pengadaan Bahan Makanan Narapidana/Tahanan Rumah Tahanan Negara Klas II-A Sampang Tahun ANggaran 2014 (Lelang ini mendahului DIPA),Pengadaan Bahan Makanan Napi/Tahanan Tahun 2014 Rutan Sampang,382215000,"","",394194000,2013-12-09,Rumah Tahanan Negara Klas IIB Sampang,"","",2013-12-31,APBN,2014,Pengadaan Barang,211252,394200000,"",14752,Jakarta Selatan (Kota),DKI Jakarta
114,9999,8542114,LPSE Kementerian Perhubungan,Badan Peng. SDM Perhubungan,7547114,Pengadaan Meja Belajar Taruna pada Sekolah Tinggi Ilmu Pelayaran Tahun Anggaran 2014 (Lelang Tidak Mengikat),PANITIA PENGADAAN BARANG/JASA BELANJA BARANG DAN MODAL RUPIAH MURNI TA.2014,1260600000,"","",1303500000,2013-12-16,Sekolah Tinggi Ilmu Pelayaran,"","",2014-01-10,APBN,2014,Pengadaan Barang,71114,1350000000,"",14748,Jakarta Pusat (Kota),DKI Jakarta
104,1104,611104,LPSE Kota Surakarta,ULP Pemerintah Kota Surakarta,517104,Pengadaan Jasa Keamanan Pasar-Pasar (Satpam Pasar) Dinas Pengelolaan Pasar Kota Surakarta Tahun 2014,Jasa Keamanan Pasar-Pasar (Satpam Pasar) DPP TA. 2014,2605898500,PT. BRADDA SOLO INDO,31.631.107.5-526.000,2771202750,2013-12-23,Dinas Pengelolaan Pasar,"","",2014-01-20,APBD,2014,"Jasa Lainnya",13104,2771704320,518104,14798,Surakarta (Kota),Jawa Tengah
479,10479,235479,LPSE Kabupaten Dompu,Pokja II 2013,219479,Pengadaan dan Pemasangan Sambungan Rumah Masyarakat Berpenghasilan Rendah (SR-MBR),Pokja II 2013,986212000,KIAN SUKSES,02.333.952.6-912.000,997915000,2013-12-05,Perusahaan Daerah Air Minum Kabupaten Dompu,"","",2014-01-22,APBD,2013,"Pekerjaan Konstruksi",66479,997915000,16479,14979,Dompu (Kab.),Nusa Tenggara Barat
